,concept_diversity_across_time
112,15.600342234428524
113,17.482205737899037
114,14.666760210389457
115,13.998841742017133
116,14.470856775821373
119,14.596950086301883
174,13.40055659397233
243,15.74646918349545
244,11.867573626237766
246,15.881034530392478
247,16.195106608386254
248,17.185629759858422
249,17.076199415736212
250,15.139643624744775
251,15.641522302692225
252,16.000697859359068
253,16.11169615163725
254,17.443399230358033
256,13.863539548119245
350,13.924738828927632
351,16.0034407739873
352,14.485642320553406
353,14.783027384576995
354,17.313208213573713
355,15.652442112838703
356,17.654097551169627
357,16.145315842898757
358,16.931352688349005
359,16.022558217624965
873,16.95454778891559
881,17.397049646354823
882,16.123977062962442
883,14.911487461784736
885,15.4531718841346
886,15.534557681365744
891,16.632108189857142
893,15.525781483558724
900,15.667112342209185
902,16.417351337512972
1150,17.259526253104593
1151,16.856957795170096
1152,16.791261595150704
1153,16.496885487132367
1154,16.397289676322583
1155,16.817930328217344
1156,16.737147430175423
1157,16.514523943567283
1158,16.38892331698703
1159,16.537073593906076
1160,17.060722258414167
1267,18.931568569324174
1270,16.274745257180104
1271,15.837588244166813
1276,16.250444674063655
1277,14.590834631148082
1288,15.293535190101004
1289,15.09967420708168
1301,17.270144425332017
1303,18.15224215330911
1304,14.327676875064846
1307,17.34527031461196
1313,16.334013763422337
1419,16.14278925945731
1420,16.400503991395286
1422,17.286795918831512
1423,15.754173637719333
1424,14.000596058739267
1425,17.054706252987927
1426,18.379896198227872
1427,18.28462456662599
1428,18.931568569324174
1429,18.931568569324174
1430,17.00071527048712
1431,16.74822276188642
1432,16.000363138667396
1433,17.065174408502646
1434,15.955730629052038
1436,15.758410426102566
1655,16.616938115386507
1656,15.611509851199063
1658,15.000011006847668
1660,15.29489016149574
1664,14.540667213856711
1779,3.1318569606087916
1781,18.28795080304516
1782,15.000652924987023
1786,15.45280007164778
1794,15.600342234428524
1796,15.668549524000245
1941,17.218530300187357
1942,18.4710756037528
1943,16.739910575521833
1944,16.74244112867951
1945,15.683206496134277
1946,18.71778070996027
1948,17.21243681944433
2148,15.000011006847668
2159,17.96614191990565
2160,15.647015118812625
2161,15.85154045514359
2162,15.354329566277936
2163,15.85994081568609
2164,15.041380050029256
2165,15.589573066451079
2166,14.448517832837092
2167,14.345240113603346
2168,15.950425234998981
2169,16.339717209309047
2170,15.331274546129933
2314,17.458871811757078
2315,14.977539628751051
2316,15.943523183106745
2317,15.02585830766212
2318,17.00071527048712
2421,15.667312256357553
2428,15.778587001663128
2430,16.785797114243866
2440,16.856610506686323
2449,14.318582246524205
